District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,Lattitude,Longitude
Downtown,R1,19-0007298,Removal of victim(s) from stalled elevator,11/16/2019 6:38,11/16/2019 6:38,11/16/2019 6:39,11/16/2019 6:41,11/16/2019 6:43,11/16/2019 6:55,BURLINGTON,5401,C,44.49609556,-73.21277382
Hill Section,R1,19-0006644,Smoke detector activation due to malfunction,10/21/2019 9:45,10/21/2019 9:45,10/21/2019 9:45,10/21/2019 9:47,10/21/2019 9:51,10/21/2019 9:52,BURLINGTON,5401,A,44.46203348,-73.21445196
Downtown,R1,19-0006687,EMS call,10/23/2019 9:46,10/23/2019 9:46,10/23/2019 9:47,10/23/2019 9:49,10/23/2019 9:50,10/23/2019 9:51,BURLINGTON,5401,C,44.46701666,-73.21149076
Downtown,T1,18-0004989,"Unintentional transmission of alarm, other",8/16/2018 17:14,8/16/2018 17:14,8/16/2018 17:15,8/16/2018 17:17,8/16/2018 17:20,8/16/2018 17:23,BURLINGTON,5401,B,44.48531207,-73.18742861
Downtown,E1,19-0005594,EMS call,9/8/2019 11:38,9/8/2019 11:38,9/8/2019 11:38,9/8/2019 11:40,9/8/2019 11:41,9/8/2019 11:48,BURLINGTON,5401,C,44.46748695,-73.1906927
Downtown,T1,19-0006229,EMS call,10/4/2019 12:29,10/4/2019 12:29,10/4/2019 12:30,10/4/2019 12:31,10/4/2019 12:33,10/4/2019 12:42,BURLINGTON,5401,B,44.47068876,-73.23766989
Downtown,E1,19-0006386,EMS call,10/11/2019 2:13,10/11/2019 2:13,10/11/2019 2:13,10/11/2019 2:17,10/11/2019 2:18,10/11/2019 2:37,BURLINGTON,5401,B,44.46406369,-73.23862965
Old North End,A2,19-0004690,EMS call,7/31/2019 15:28,7/31/2019 15:28,7/31/2019 15:29,7/31/2019 15:30,7/31/2019 15:33,7/31/2019 16:01,BURLINGTON,5401,C,44.49430914,-73.22956718
New North End,A2,19-0005149,EMS call,8/20/2019 11:18,8/20/2019 11:18,8/20/2019 11:19,8/20/2019 11:20,8/20/2019 11:24,8/20/2019 12:36,BURLINGTON,5408,B,44.50663135,-73.23182081
New North End,A2,19-0004126,EMS call,7/9/2019 11:17,7/9/2019 11:17,7/9/2019 11:17,7/9/2019 11:19,7/9/2019 11:23,7/9/2019 12:04,BURLINGTON,5401,B,44.47691305,-73.24811973
New North End,A2,19-0004397,EMS call,7/20/2019 8:01,7/20/2019 8:01,7/20/2019 8:02,7/20/2019 8:03,7/20/2019 8:08,7/20/2019 8:55,Burlington,5401,A,44.49071235,-73.26155478
New North End,L4,19-0006792,EMS call,10/27/2019 12:07,10/27/2019 12:07,10/27/2019 12:07,10/27/2019 12:09,10/27/2019 12:11,10/27/2019 12:30,BURLINGTON,5408,A,44.52582542,-73.2633787
New North End,L4,19-0007120,EMS call,11/9/2019 3:10,11/9/2019 3:10,11/9/2019 3:11,11/9/2019 3:13,11/9/2019 3:14,11/9/2019 4:22,BURLINGTON,5408,B,44.52354024,-73.27585281
New North End,L4,18-0005578,EMS call,9/10/2018 17:26,9/10/2018 17:26,9/10/2018 17:27,9/10/2018 17:29,9/10/2018 17:31,9/10/2018 17:52,BURLINGTON,5408,C,44.53211265,-73.28129237
New North End,L4,18-0005668,EMS call,9/14/2018 7:04,9/14/2018 7:04,9/14/2018 7:05,9/14/2018 7:06,9/14/2018 7:09,9/14/2018 7:23,BURLINGTON,5408,A,44.51847088,-73.23297716
New North End,L4,18-0005897,EMS call,9/22/2018 12:52,9/22/2018 12:52,9/22/2018 12:52,9/22/2018 12:54,9/22/2018 12:58,9/22/2018 13:13,BURLINGTON,5408,C,44.5274163,-73.22212277
COL,L4,18-0006575,Building fire  Excludes confined fires (113–118),10/19/2018 10:24,10/19/2018 10:24,10/19/2018 10:24,10/19/2018 10:25,10/19/2018 10:34,10/19/2018 10:34,COLCHESTER,5446,C,44.54258109,-73.196409
Hill Section,E3,19-0001103,Alarm system activation due to malfunction,2/20/2019 11:18,2/20/2019 11:18,2/20/2019 11:18,2/20/2019 11:20,2/20/2019 11:25,2/20/2019 11:35,BURLINGTON,5401,A,44.48859141,-73.20923205
Hill Section,E3,19-0001106,EMS call,2/20/2019 13:21,2/20/2019 13:21,2/20/2019 13:21,2/20/2019 13:23,2/20/2019 13:26,2/20/2019 13:49,BURLINGTON,5401,A,44.5105884,-73.17176716
New North End,E3,18-0007961,EMS call,12/26/2018 2:49,12/26/2018 2:49,12/26/2018 3:28,12/26/2018 3:29,12/26/2018 3:36,12/26/2018 3:48,BURLINGTON,5408,B,44.50145739,-73.2482971
Hill Section,E3,18-0008036,EMS call,12/29/2018 18:01,12/29/2018 18:01,12/29/2018 18:02,12/29/2018 18:04,12/29/2018 18:08,12/29/2018 18:26,BURLINGTON,5401,B,44.46729069,-73.18693423
Hill Section,E3,19-0001793,EMS call,3/25/2019 11:51,3/25/2019 11:51,3/25/2019 11:52,3/25/2019 11:53,3/25/2019 11:55,3/25/2019 12:11,BURLINGTON,5401,A,44.46873693,-73.2335565
Hill Section,E3,19-0001944,"Smoke detector activation (no fire), unintentional",4/1/2019 18:42,4/1/2019 18:42,4/1/2019 18:42,4/1/2019 18:48,4/1/2019 18:48,4/1/2019 18:57,BURLINGTON,5401,B,44.47881557,-73.20074668
Hill Section,E3,19-0001961,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,4/2/2019 18:53,4/2/2019 18:53,4/2/2019 18:54,4/2/2019 18:58,4/2/2019 18:58,4/2/2019 19:09,BURLINGTON,5401,C,44.45802533,-73.21872582
Hill Section,E3,19-0004047,EMS call,7/5/2019 21:05,7/5/2019 21:05,7/5/2019 21:05,7/5/2019 21:08,7/5/2019 21:11,7/5/2019 21:17,BURLINGTON,5401,A,44.49531217,-73.21058984
Hill Section,E3,19-0004078,EMS call,7/7/2019 13:02,7/7/2019 13:02,7/7/2019 13:02,7/7/2019 13:02,7/7/2019 13:08,7/7/2019 13:25,BURLINGTON,5401,C,44.45266919,-73.17111967
Hill Section,E3,19-0004545,Smoke detector activation due to malfunction,7/26/2019 17:34,7/26/2019 17:34,7/26/2019 17:35,7/26/2019 17:37,7/26/2019 17:37,7/26/2019 17:42,BURLINGTON,5401,A,44.4612277,-73.22399464
New North End,A1,19-0006103,EMS call,9/29/2019 8:22,9/29/2019 8:22,9/29/2019 8:23,9/29/2019 8:24,9/29/2019 8:31,9/29/2019 9:23,BURLINGTON,5408,C,44.51284849,-73.23012989
SB,A1,19-0006104,EMS call,9/29/2019 10:34,9/29/2019 10:34,9/29/2019 10:36,9/29/2019 10:37,9/29/2019 10:42,9/29/2019 11:24,SOUTH BURLINGTON,5403,C,44.44479996,-73.17361267
New North End,A1,19-0004144,EMS call,7/10/2019 7:35,7/10/2019 7:35,7/10/2019 7:36,7/10/2019 7:36,7/10/2019 7:43,7/10/2019 8:30,BURLINGTON,5401,C,44.52628059,-73.25973347
Old North End,L2,19-0006059,EMS call,9/27/2019 19:11,9/27/2019 19:11,9/27/2019 19:11,9/27/2019 19:14,9/27/2019 19:16,9/27/2019 19:44,BURLINGTON,5401,A,44.50444344,-73.21406292
Old North End,L2,19-0006876,"Good intent call, other",10/31/2019 12:53,10/31/2019 12:53,10/31/2019 12:53,10/31/2019 12:55,10/31/2019 12:58,10/31/2019 13:04,BURLINGTON,5401,B,44.46876877,-73.23011672
Downtown,L2,19-0006320,EMS call,10/8/2019 5:31,10/8/2019 5:31,10/8/2019 5:31,10/8/2019 5:33,10/8/2019 5:37,10/8/2019 5:49,BURLINGTON,5401,C,44.48307881,-73.20454395
New North End,L2,18-0005571,EMS call,9/10/2018 13:42,9/10/2018 13:42,9/10/2018 13:43,9/10/2018 13:44,9/10/2018 13:51,9/10/2018 14:03,BURLINGTON,5408,C,44.50601045,-73.25757496
Old North End,L2,18-0008048,"Defective elevator, no occupants",12/30/2018 11:48,12/30/2018 11:48,12/30/2018 11:49,12/30/2018 11:51,12/30/2018 11:52,12/30/2018 13:29,BURLINGTON,5401,C,44.49847857,-73.19130455
Hill Section,E3,19-0006612,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,10/19/2019 22:17,10/19/2019 22:17,10/19/2019 22:18,10/19/2019 22:18,10/19/2019 22:21,10/19/2019 22:56,BURLINGTON,5401,B,44.4782414,-73.22041447
Hill Section,E3,19-0005733,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/13/2019 19:38,9/13/2019 19:38,9/13/2019 19:38,9/13/2019 19:38,9/13/2019 19:41,9/13/2019 19:53,BURLINGTON,5401,B,44.50597661,-73.20065105
Hill Section,E3,19-0006754,EMS call,10/25/2019 18:58,10/25/2019 18:58,10/25/2019 18:58,10/25/2019 19:00,10/25/2019 19:03,10/25/2019 19:07,BURLINGTON,5401,B,44.47397128,-73.18548836
Hill Section,E3,19-0006789,"Smoke detector activation (no fire), unintentional",10/27/2019 9:57,10/27/2019 9:57,10/27/2019 9:57,10/27/2019 9:59,10/27/2019 10:03,10/27/2019 10:12,BURLINGTON,5401,A,44.50273657,-73.20044583
Hill Section,E3,19-0006996,EMS call,11/4/2019 6:07,11/4/2019 6:07,11/4/2019 6:07,11/4/2019 6:10,11/4/2019 6:13,11/4/2019 6:32,BURLINGTON,5401,C,44.48244471,-73.20353428
Old North End,L2,19-0000152,"Alarm system activation (no fire), unintentional",1/9/2019 3:44,1/9/2019 3:44,1/9/2019 3:44,1/9/2019 3:46,1/9/2019 3:49,1/9/2019 3:57,BURLINGTON,5401,A,44.47532929,-73.20766355
Old North End,L2,19-0005413,EMS call,8/31/2019 21:53,8/31/2019 21:53,8/31/2019 21:54,8/31/2019 21:56,8/31/2019 21:58,8/31/2019 22:04,BURLINGTON,5401,A,44.49537115,-73.21226704
Old North End,L2,19-0005550,EMS call,9/6/2019 11:25,9/6/2019 11:25,9/6/2019 11:26,9/6/2019 11:27,9/6/2019 11:28,9/6/2019 11:39,BURLINGTON,5401,A,44.50228916,-73.21338374
Old North End,L2,19-0005553,EMS call,9/6/2019 13:45,9/6/2019 13:45,9/6/2019 13:45,9/6/2019 13:47,9/6/2019 13:50,9/6/2019 14:10,BURLINGTON,5401,A,44.49491162,-73.19773001
Downtown,BATT1,19-0004219,Motor vehicle accident with no injuries,7/13/2019 10:12,7/13/2019 10:12,7/13/2019 10:14,7/13/2019 10:15,7/13/2019 10:16,7/13/2019 10:30,BURLINGTON,5401,C,44.49636439,-73.2297495
Downtown,BATT1,18-0007298,"Sprinkler activation (no fire), unintentional",11/24/2018 6:30,11/24/2018 6:30,11/24/2018 6:31,11/24/2018 6:32,11/24/2018 6:34,11/24/2018 7:58,BURLINGTON,5401,C,44.49586993,-73.22517957
Downtown,BATT1,19-0001824,"False alarm or false call, other",3/27/2019 11:50,3/27/2019 11:50,3/27/2019 11:51,3/27/2019 11:53,3/27/2019 11:54,3/27/2019 12:01,BURLINGTON,5401,C,44.49351398,-73.21122714
Old North End,BATT1,19-0001861,Alarm system activation due to malfunction,3/29/2019 7:12,3/29/2019 7:12,3/29/2019 7:12,3/29/2019 7:13,3/29/2019 7:18,3/29/2019 7:32,BURLINGTON,5401,B,44.50172932,-73.232542
Old North End,BATT1,19-0002027,Smoke detector activation due to malfunction,4/5/2019 18:35,4/5/2019 18:35,4/5/2019 18:35,4/5/2019 18:37,4/5/2019 18:40,4/5/2019 18:43,BURLINGTON,5401,C,44.48764167,-73.2346778
Downtown,BATT1,19-0002165,Smoke detector activation due to malfunction,4/12/2019 8:59,4/12/2019 8:59,4/12/2019 8:59,4/12/2019 9:01,4/12/2019 9:06,4/12/2019 9:10,BURLINGTON,5401,A,44.46416237,-73.22329272
South End,BATT1,19-0000401,Water or steam leak,1/20/2019 15:11,1/20/2019 15:11,1/20/2019 15:11,1/20/2019 15:13,1/20/2019 15:16,1/20/2019 15:25,BURLINGTON,5401,C,44.45760546,-73.19787976
Old North End,BATT1,19-0000514,Cooking fire involving the contents of a cooking vessel without fire extension beyond the vessel,1/24/2019 19:54,1/24/2019 19:54,1/24/2019 19:54,1/24/2019 19:57,1/24/2019 20:00,1/24/2019 20:02,BURLINGTON,5401,A,44.50202204,-73.21484865
Downtown,BATT1,18-0004663,Hazardous material release investigation with no hazardous condition found,8/4/2018 16:36,8/4/2018 16:36,8/4/2018 16:37,8/4/2018 16:40,8/4/2018 16:40,8/4/2018 17:32,BURLINGTON,5401,B,44.47473323,-73.18383874
Downtown,BATT1,19-0000788,"Sprinkler activation (no fire), unintentional",2/5/2019 11:04,2/5/2019 11:04,2/5/2019 11:05,2/5/2019 11:07,2/5/2019 11:13,2/5/2019 11:42,BURLINGTON,5401,A,44.4898818,-73.20458762
Old North End,E3,19-0002575,Alarm system activation due to malfunction,4/30/2019 5:57,4/30/2019 5:57,4/30/2019 5:59,4/30/2019 6:00,4/30/2019 6:03,4/30/2019 6:23,BURLINGTON,5401,A,44.51230191,-73.23606282
Hill Section,E3,19-0002776,EMS call,5/9/2019 16:12,5/9/2019 16:12,5/9/2019 16:13,5/9/2019 16:14,5/9/2019 16:15,5/9/2019 16:38,BURLINGTON,5401,A,44.47356076,-73.18395072
Hill Section,E3,18-0005627,"Smoke detector activation (no fire), unintentional",9/12/2018 18:33,9/12/2018 18:33,9/12/2018 18:33,9/12/2018 18:35,9/12/2018 18:40,9/12/2018 18:44,BURLINGTON,5401,B,44.46995413,-73.17987571
Hill Section,E3,18-0005724,EMS call,9/16/2018 8:41,9/16/2018 8:41,9/16/2018 8:41,9/16/2018 8:45,9/16/2018 8:45,9/16/2018 8:59,BURLINGTON,5401,C,44.46948652,-73.19204795
Hill Section,E3,18-0005855,EMS call,9/21/2018 7:19,9/21/2018 7:19,9/21/2018 7:19,9/21/2018 7:23,9/21/2018 7:27,9/21/2018 7:37,BURLINGTON,5401,B,44.47892735,-73.1881538
Hill Section,E3,19-0005107,EMS call,8/19/2019 6:21,8/19/2019 6:21,8/19/2019 6:36,8/19/2019 6:36,8/19/2019 6:36,8/19/2019 6:40,BURLINGTON,5401,A,44.46681478,-73.20349692
South End,A1,18-0007543,EMS call,12/5/2018 16:56,12/5/2018 16:56,12/5/2018 16:57,12/5/2018 16:59,12/5/2018 17:05,12/5/2018 18:02,BURLINGTON,5401,B,44.45458816,-73.19982234
Old North End,L2,19-0005617,EMS call,9/9/2019 11:17,9/9/2019 11:17,9/9/2019 11:17,9/9/2019 11:18,9/9/2019 11:21,9/9/2019 11:39,BURLINGTON,5408,A,44.51355963,-73.2239413
Hill Section,L2,18-0006014,"Good intent call, other",9/26/2018 12:44,9/26/2018 12:44,9/26/2018 12:47,9/26/2018 12:50,9/26/2018 12:59,9/26/2018 13:05,Burlington,5401,A,44.4907802,-73.22434693
Old North End,L2,19-0004967,EMS call,8/13/2019 6:34,8/13/2019 6:34,8/13/2019 6:34,8/13/2019 6:36,8/13/2019 6:40,8/13/2019 6:45,BURLINGTON,5401,A,44.50634067,-73.22762072
New North End,L2,19-0003602,EMS call,6/16/2019 7:50,6/16/2019 7:50,6/16/2019 7:51,6/16/2019 7:52,6/16/2019 7:58,6/16/2019 8:13,BURLINGTON,5408,C,44.52267732,-73.27196659
Old North End,A2,18-0005914,No incident found on arrival at dispatch address,9/22/2018 22:35,9/22/2018 22:35,9/22/2018 22:36,9/22/2018 22:39,9/22/2018 22:47,9/22/2018 22:47,BURLINGTON,5401,C,44.48723645,-73.2379451
Old North End,A2,18-0006081,EMS call,9/29/2018 7:12,9/29/2018 7:12,9/29/2018 7:13,9/29/2018 7:15,9/29/2018 7:16,9/29/2018 8:10,BURLINGTON,5401,A,44.49723204,-73.20059891
New North End,A2,19-0007326,EMS call,11/17/2019 6:06,11/17/2019 6:06,11/17/2019 6:06,11/17/2019 6:08,11/17/2019 6:11,11/17/2019 6:45,BURLINGTON,5408,A,44.49908984,-73.27479411
Old North End,A2,19-0007411,EMS call,11/20/2019 14:11,11/20/2019 14:11,11/20/2019 14:13,11/20/2019 14:14,11/20/2019 14:28,11/20/2019 14:57,BURLINGTON,5401,A,44.48984375,-73.23140525
New North End,A2,19-0006560,EMS call,10/17/2019 14:15,10/17/2019 14:15,10/17/2019 14:16,10/17/2019 14:17,10/17/2019 14:20,10/17/2019 15:13,BURLINGTON,5408,C,44.52368966,-73.23255561
Old North End,A2,19-0002800,EMS call,5/11/2019 6:49,5/11/2019 6:49,5/11/2019 6:49,5/11/2019 6:50,5/11/2019 6:53,5/11/2019 7:20,BURLINGTON,5401,C,44.49362818,-73.22065792
New North End,L4,19-0000153,Motor vehicle accident with no injuries,1/9/2019 4:19,1/9/2019 4:19,1/9/2019 4:19,1/9/2019 4:22,1/9/2019 4:25,1/9/2019 4:50,BURLINGTON,5401,A,44.49431337,-73.18240792
New North End,L4,18-0007386,EMS call,11/28/2018 12:05,11/28/2018 12:05,11/28/2018 12:06,11/28/2018 12:08,11/28/2018 12:09,11/28/2018 12:15,BURLINGTON,5408,A,44.52199586,-73.2635461
Old North End,A2,19-0007025,EMS call,11/5/2019 9:53,11/5/2019 9:53,11/5/2019 9:53,11/5/2019 9:54,11/5/2019 9:56,11/5/2019 10:33,BURLINGTON,5401,A,44.47248687,-73.20926629
Hill Section,A2,18-0006007,EMS call,9/26/2018 9:54,9/26/2018 9:54,9/26/2018 9:55,9/26/2018 9:57,9/26/2018 10:00,9/26/2018 10:42,BURLINGTON,5401,A,44.43272257,-73.20081549
New North End,A2,19-0007054,EMS call,11/6/2019 10:34,11/6/2019 10:34,11/6/2019 10:35,11/6/2019 10:36,11/6/2019 10:43,11/6/2019 12:12,BURLINGTON,5408,B,44.5067416,-73.28374457
SB,A2,19-0007075,EMS call,11/7/2019 10:06,11/7/2019 10:06,11/7/2019 10:07,11/7/2019 10:07,11/7/2019 10:14,11/7/2019 10:14,SOUTH BURLINGTON,5403,C,44.45801534,-73.17146069
New North End,A2,19-0007097,EMS call,11/8/2019 5:13,11/8/2019 5:13,11/8/2019 5:14,11/8/2019 5:15,11/8/2019 5:26,11/8/2019 6:09,BURLINGTON,5408,A,44.5184287,-73.22530112
Old North End,A2,18-0005628,"Emergency medical service incident, other",9/12/2018 18:37,9/12/2018 18:37,9/12/2018 18:37,9/12/2018 18:37,9/12/2018 18:37,9/12/2018 19:38,BURLINGTON,5401,B,44.49948101,-73.21297445
New North End,A2,18-0005721,EMS call,9/16/2018 4:17,9/16/2018 4:17,9/16/2018 4:17,9/16/2018 4:25,9/16/2018 4:25,9/16/2018 5:58,BURLINGTON,5408,C,44.54022785,-73.26106985
Hill Section,A2,18-0005888,EMS call,9/22/2018 3:26,9/22/2018 3:26,9/22/2018 3:27,9/22/2018 3:29,9/22/2018 3:33,9/22/2018 4:20,Burlington,5401,C,44.46787422,-73.20900893
New North End,A2,18-0005944,EMS call,9/24/2018 4:05,9/24/2018 4:05,9/24/2018 4:21,9/24/2018 4:21,9/24/2018 4:22,9/24/2018 5:44,BURLINGTON,5408,B,44.48562432,-73.25138485
Old North End,A2,18-0005967,EMS call,9/24/2018 18:28,9/24/2018 18:28,9/24/2018 18:29,9/24/2018 18:31,9/24/2018 18:32,9/24/2018 19:26,BURLINGTON,5401,B,44.46994253,-73.24903984
Old North End,A2,18-0006071,EMS call,9/28/2018 20:19,9/28/2018 20:19,9/28/2018 20:20,9/28/2018 20:20,9/28/2018 20:22,9/28/2018 21:41,BURLINGTON,5401,C,44.47476526,-73.25296509
Old North End,L2,19-0004172,Unauthorized burning,7/11/2019 12:40,7/11/2019 12:40,7/11/2019 12:40,7/11/2019 12:42,7/11/2019 12:48,7/11/2019 12:51,BURLINGTON,5401,A,44.46480882,-73.23587703
Hill Section,L2,19-0004242,"Smoke detector activation (no fire), unintentional",7/14/2019 6:40,7/14/2019 6:40,7/14/2019 6:41,7/14/2019 6:43,7/14/2019 6:46,7/14/2019 6:57,BURLINGTON,5401,A,44.4891416,-73.22315375
Old North End,L2,19-0003464,"Smoke detector activation (no fire), unintentional",6/10/2019 19:54,6/10/2019 19:54,6/10/2019 19:54,6/10/2019 19:56,6/10/2019 20:00,6/10/2019 20:19,BURLINGTON,5401,C,44.48243591,-73.25978252
Old North End,L2,19-0003508,Animal rescue,6/12/2019 14:10,6/12/2019 14:10,6/12/2019 14:10,6/12/2019 14:12,6/12/2019 14:17,6/12/2019 14:31,BURLINGTON,5401,B,44.49281585,-73.23557831
New North End,L2,18-0007839,EMS call,12/19/2018 9:15,12/19/2018 9:15,12/19/2018 9:15,12/19/2018 9:17,12/19/2018 9:21,12/19/2018 9:26,BURLINGTON,5408,A,44.50441709,-73.23887873
Hill Section,E3,19-0005186,EMS call,8/22/2019 7:52,8/22/2019 7:52,8/22/2019 7:52,8/22/2019 7:54,8/22/2019 7:55,8/22/2019 8:32,BURLINGTON,5401,A,44.50030992,-73.22636807
New North End,E3,19-0005462,EMS call,9/3/2019 4:56,9/3/2019 4:56,9/3/2019 4:57,9/3/2019 4:58,9/3/2019 5:03,9/3/2019 5:53,BURLINGTON,5408,A,44.50450348,-73.23053537
Hill Section,E3,18-0007216,EMS call,11/19/2018 11:34,11/19/2018 11:34,11/19/2018 11:38,11/19/2018 11:38,11/19/2018 11:38,11/19/2018 11:59,BURLINGTON,5401,A,44.43466704,-73.21474446
Hill Section,E3,18-0007270,Carbon monoxide detector activation (no carbon monoxide detected),11/22/2018 11:05,11/22/2018 11:05,11/22/2018 11:06,11/22/2018 11:08,11/22/2018 11:14,11/22/2018 11:42,BURLINGTON,5401,A,44.49525511,-73.16255144
Hill Section,E3,19-0000793,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,2/5/2019 16:27,2/5/2019 16:27,2/5/2019 16:27,2/5/2019 16:32,2/5/2019 16:32,2/5/2019 16:46,BURLINGTON,5401,A,44.47632177,-73.16988497
Hill Section,L2,18-0004889,"Smoke detector activation (no fire), unintentional",8/13/2018 4:05,8/13/2018 4:05,8/13/2018 4:05,8/13/2018 4:07,8/13/2018 4:12,8/13/2018 4:14,BURLINGTON,5401,B,44.48428155,-73.22715025
Old North End,L2,19-0003527,,6/13/2019 9:21,6/13/2019 9:21,6/13/2019 9:22,6/13/2019 9:25,6/13/2019 9:27,6/13/2019 9:37,BURLINGTON,5401,,44.47879968,-73.21510495
Old North End,L2,18-0005125,"Alarm system activation (no fire), unintentional",8/22/2018 13:35,8/22/2018 13:35,8/22/2018 13:35,8/22/2018 13:37,8/22/2018 13:41,8/22/2018 13:50,BURLINGTON,5401,B,44.48256361,-73.20297516
Old North End,L2,18-0005238,"Rescue and EMS incident, other",8/27/2018 16:26,8/27/2018 16:26,8/27/2018 16:27,8/27/2018 16:29,8/27/2018 16:38,8/27/2018 16:44,BURLINGTON,5401,A,44.49324313,-73.22073949
Old North End,L2,19-0002475,EMS call,4/25/2019 19:22,4/25/2019 19:22,4/25/2019 19:22,4/25/2019 19:23,4/25/2019 19:24,4/25/2019 19:27,BURLINGTON,5401,B,44.47657922,-73.23379501
Downtown,E3,19-0000766,EMS call,2/4/2019 15:08,2/4/2019 15:08,2/4/2019 15:10,2/4/2019 15:10,2/4/2019 15:10,2/4/2019 16:04,BURLINGTON,5401,C,44.47584131,-73.19169656
Hill Section,E3,19-0003881,"Smoke detector activation (no fire), unintentional",6/27/2019 20:02,6/27/2019 20:02,6/27/2019 20:02,6/27/2019 20:03,6/27/2019 20:04,6/27/2019 20:14,BURLINGTON,5401,B,44.49139432,-73.19632422
Hill Section,E3,18-0006466,Smoke detector activation due to malfunction,10/13/2018 20:39,10/13/2018 20:39,10/13/2018 20:40,10/13/2018 20:46,10/13/2018 20:46,10/13/2018 20:54,BURLINGTON,5401,C,44.4802438,-73.21152704
Hill Section,E3,19-0006536,"System or detector malfunction, other",10/16/2019 9:26,10/16/2019 9:26,10/16/2019 9:27,10/16/2019 9:29,10/16/2019 9:32,10/16/2019 9:36,BURLINGTON,5401,B,44.48479321,-73.19729259
