District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,geopoint
Downtown,R1,19-0006500,EMS call,10/15/19 2:59,10/15/19 2:59,10/15/19 3:01,10/15/19 3:06,10/15/19 3:11,10/15/19 3:11,BURLINGTON,5401,A,"44.4853858163,-73.2379948722"
Old North End,6A1,19-0002396,EMS call,4/22/19 13:08,4/22/19 13:08,4/22/19 13:14,4/22/19 13:18,4/22/19 13:32,4/22/19 13:39,BURLINGTON,5401,B,"44.5072143427,-73.2222728622"
Hill Section,22A2,18-0006471,"Smoke detector activation (no fire), unintentional",10/14/18 3:29,10/14/18 3:29,10/14/18 3:38,10/14/18 3:38,10/14/18 3:38,10/14/18 3:45,BURLINGTON,5401,B,"44.4781082241,-73.2098431986"
Hill Section,R1,19-0003440,Smoke detector activation due to malfunction,6/10/19 6:11,6/10/19 6:11,6/10/19 6:11,6/10/19 6:14,6/10/19 6:17,6/10/19 6:25,BURLINGTON,5401,C,"44.4905755802,-73.2004482847"
Downtown,R1,19-0007200,Alarm system activation due to malfunction,11/11/19 23:46,11/11/19 23:46,11/11/19 23:46,11/11/19 23:49,11/11/19 23:52,11/11/19 23:53,BURLINGTON,5401,A,"44.4960703264,-73.2064800834"
Downtown,R1,19-0007298,Removal of victim(s) from stalled elevator,11/16/19 6:38,11/16/19 6:38,11/16/19 6:39,11/16/19 6:41,11/16/19 6:43,11/16/19 6:55,BURLINGTON,5401,C,"44.4960955552,-73.2127738215"
Hill Section,R1,19-0006644,Smoke detector activation due to malfunction,10/21/19 9:45,10/21/19 9:45,10/21/19 9:45,10/21/19 9:47,10/21/19 9:51,10/21/19 9:52,BURLINGTON,5401,A,"44.4620334828,-73.2144519571"
Downtown,R1,19-0006687,EMS call,10/23/19 9:46,10/23/19 9:46,10/23/19 9:47,10/23/19 9:49,10/23/19 9:50,10/23/19 9:51,BURLINGTON,5401,C,"44.4670166574,-73.2114907638"
Downtown,T1,18-0004989,"Unintentional transmission of alarm, other",8/16/18 17:14,8/16/18 17:14,8/16/18 17:15,8/16/18 17:17,8/16/18 17:20,8/16/18 17:23,BURLINGTON,5401,B,"44.4853120658,-73.1874286148"
Downtown,E1,19-0005594,EMS call,9/8/19 11:38,9/8/19 11:38,9/8/19 11:38,9/8/19 11:40,9/8/19 11:41,9/8/19 11:48,BURLINGTON,5401,C,"44.4674869472,-73.1906927009"
Downtown,T1,19-0006229,EMS call,10/4/19 12:29,10/4/19 12:29,10/4/19 12:30,10/4/19 12:31,10/4/19 12:33,10/4/19 12:42,BURLINGTON,5401,B,"44.4706887584,-73.2376698869"
Downtown,E1,19-0006386,EMS call,10/11/19 2:13,10/11/19 2:13,10/11/19 2:13,10/11/19 2:17,10/11/19 2:18,10/11/19 2:37,BURLINGTON,5401,B,"44.4640636887,-73.2386296466"
Old North End,A2,19-0004690,EMS call,7/31/19 15:28,7/31/19 15:28,7/31/19 15:29,7/31/19 15:30,7/31/19 15:33,7/31/19 16:01,BURLINGTON,5401,C,"44.4943091397,-73.2295671831"
New North End,A2,19-0005149,EMS call,8/20/19 11:18,8/20/19 11:18,8/20/19 11:19,8/20/19 11:20,8/20/19 11:24,8/20/19 12:36,BURLINGTON,5408,B,"44.50663135,-73.2318208093"
New North End,A2,19-0004126,EMS call,7/9/19 11:17,7/9/19 11:17,7/9/19 11:17,7/9/19 11:19,7/9/19 11:23,7/9/19 12:04,BURLINGTON,5401,B,"44.4769130542,-73.2481197268"
New North End,A2,19-0004397,EMS call,7/20/19 8:01,7/20/19 8:01,7/20/19 8:02,7/20/19 8:03,7/20/19 8:08,7/20/19 8:55,Burlington,5401,A,"44.4907123464,-73.2615547758"
New North End,L4,19-0006792,EMS call,10/27/19 12:07,10/27/19 12:07,10/27/19 12:07,10/27/19 12:09,10/27/19 12:11,10/27/19 12:30,BURLINGTON,5408,A,"44.5258254153,-73.2633786961"
New North End,L4,19-0007120,EMS call,11/9/19 3:10,11/9/19 3:10,11/9/19 3:11,11/9/19 3:13,11/9/19 3:14,11/9/19 4:22,BURLINGTON,5408,B,"44.5235402409,-73.2758528132"
New North End,L4,18-0005578,EMS call,9/10/18 17:26,9/10/18 17:26,9/10/18 17:27,9/10/18 17:29,9/10/18 17:31,9/10/18 17:52,BURLINGTON,5408,C,"44.5321126541,-73.2812923748"
New North End,L4,18-0005668,EMS call,9/14/18 7:04,9/14/18 7:04,9/14/18 7:05,9/14/18 7:06,9/14/18 7:09,9/14/18 7:23,BURLINGTON,5408,A,"44.5184708848,-73.2329771646"
New North End,L4,18-0005897,EMS call,9/22/18 12:52,9/22/18 12:52,9/22/18 12:52,9/22/18 12:54,9/22/18 12:58,9/22/18 13:13,BURLINGTON,5408,C,"44.5274163047,-73.2221227683"
COL,L4,18-0006575,Building fire  Excludes confined fires (113–118),10/19/18 10:24,10/19/18 10:24,10/19/18 10:24,10/19/18 10:25,10/19/18 10:34,10/19/18 10:34,COLCHESTER,5446,C,"44.5425810891,-73.1964089952"
Hill Section,E3,19-0001103,Alarm system activation due to malfunction,2/20/19 11:18,2/20/19 11:18,2/20/19 11:18,2/20/19 11:20,2/20/19 11:25,2/20/19 11:35,BURLINGTON,5401,A,"44.4885914088,-73.2092320545"
Hill Section,E3,19-0001106,EMS call,2/20/19 13:21,2/20/19 13:21,2/20/19 13:21,2/20/19 13:23,2/20/19 13:26,2/20/19 13:49,BURLINGTON,5401,A,"44.5105884042,-73.1717671612"
New North End,E3,18-0007961,EMS call,12/26/18 2:49,12/26/18 2:49,12/26/18 3:28,12/26/18 3:29,12/26/18 3:36,12/26/18 3:48,BURLINGTON,5408,B,"44.5014573914,-73.2482970967"
Hill Section,E3,18-0008036,EMS call,12/29/18 18:01,12/29/18 18:01,12/29/18 18:02,12/29/18 18:04,12/29/18 18:08,12/29/18 18:26,BURLINGTON,5401,B,"44.4672906923,-73.1869342335"
Hill Section,E3,19-0001793,EMS call,3/25/19 11:51,3/25/19 11:51,3/25/19 11:52,3/25/19 11:53,3/25/19 11:55,3/25/19 12:11,BURLINGTON,5401,A,"44.4687369269,-73.233556495"
Hill Section,E3,19-0001944,"Smoke detector activation (no fire), unintentional",4/1/19 18:42,4/1/19 18:42,4/1/19 18:42,4/1/19 18:48,4/1/19 18:48,4/1/19 18:57,BURLINGTON,5401,B,"44.4788155672,-73.2007466772"
Hill Section,E3,19-0001961,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,4/2/19 18:53,4/2/19 18:53,4/2/19 18:54,4/2/19 18:58,4/2/19 18:58,4/2/19 19:09,BURLINGTON,5401,C,"44.4580253295,-73.2187258174"
Hill Section,E3,19-0004047,EMS call,7/5/19 21:05,7/5/19 21:05,7/5/19 21:05,7/5/19 21:08,7/5/19 21:11,7/5/19 21:17,BURLINGTON,5401,A,"44.4953121686,-73.2105898357"
Hill Section,E3,19-0004078,EMS call,7/7/19 13:02,7/7/19 13:02,7/7/19 13:02,7/7/19 13:02,7/7/19 13:08,7/7/19 13:25,BURLINGTON,5401,C,"44.4526691853,-73.171119672"
Hill Section,E3,19-0004545,Smoke detector activation due to malfunction,7/26/19 17:34,7/26/19 17:34,7/26/19 17:35,7/26/19 17:37,7/26/19 17:37,7/26/19 17:42,BURLINGTON,5401,A,"44.4612277019,-73.223994641"
New North End,A1,19-0006103,EMS call,9/29/19 8:22,9/29/19 8:22,9/29/19 8:23,9/29/19 8:24,9/29/19 8:31,9/29/19 9:23,BURLINGTON,5408,C,"44.5128484869,-73.2301298859"
SB,A1,19-0006104,EMS call,9/29/19 10:34,9/29/19 10:34,9/29/19 10:36,9/29/19 10:37,9/29/19 10:42,9/29/19 11:24,SOUTH BURLINGTON,5403,C,"44.4447999594,-73.173612666"
New North End,A1,19-0004144,EMS call,7/10/19 7:35,7/10/19 7:35,7/10/19 7:36,7/10/19 7:36,7/10/19 7:43,7/10/19 8:30,BURLINGTON,5401,C,"44.5262805895,-73.2597334678"
Old North End,L2,19-0006059,EMS call,9/27/19 19:11,9/27/19 19:11,9/27/19 19:11,9/27/19 19:14,9/27/19 19:16,9/27/19 19:44,BURLINGTON,5401,A,"44.504443444,-73.214062919"
Old North End,L2,19-0006876,"Good intent call, other",10/31/19 12:53,10/31/19 12:53,10/31/19 12:53,10/31/19 12:55,10/31/19 12:58,10/31/19 13:04,BURLINGTON,5401,B,"44.4687687706,-73.2301167175"
Downtown,L2,19-0006320,EMS call,10/8/19 5:31,10/8/19 5:31,10/8/19 5:31,10/8/19 5:33,10/8/19 5:37,10/8/19 5:49,BURLINGTON,5401,C,"44.4830788122,-73.2045439484"
New North End,L2,18-0005571,EMS call,9/10/18 13:42,9/10/18 13:42,9/10/18 13:43,9/10/18 13:44,9/10/18 13:51,9/10/18 14:03,BURLINGTON,5408,C,"44.5060104525,-73.2575749641"
Old North End,L2,18-0008048,"Defective elevator, no occupants",12/30/18 11:48,12/30/18 11:48,12/30/18 11:49,12/30/18 11:51,12/30/18 11:52,12/30/18 13:29,BURLINGTON,5401,C,"44.4984785741,-73.1913045539"
Hill Section,E3,19-0006612,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,10/19/19 22:17,10/19/19 22:17,10/19/19 22:18,10/19/19 22:18,10/19/19 22:21,10/19/19 22:56,BURLINGTON,5401,B,"44.4782414049,-73.2204144727"
Hill Section,E3,19-0005733,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,9/13/19 19:38,9/13/19 19:38,9/13/19 19:38,9/13/19 19:38,9/13/19 19:41,9/13/19 19:53,BURLINGTON,5401,B,"44.5059766075,-73.2006510543"
Hill Section,E3,19-0006754,EMS call,10/25/19 18:58,10/25/19 18:58,10/25/19 18:58,10/25/19 19:00,10/25/19 19:03,10/25/19 19:07,BURLINGTON,5401,B,"44.473971278,-73.1854883559"
Hill Section,E3,19-0006789,"Smoke detector activation (no fire), unintentional",10/27/19 9:57,10/27/19 9:57,10/27/19 9:57,10/27/19 9:59,10/27/19 10:03,10/27/19 10:12,BURLINGTON,5401,A,"44.5027365663,-73.2004458307"
Hill Section,E3,19-0006996,EMS call,11/4/19 6:07,11/4/19 6:07,11/4/19 6:07,11/4/19 6:10,11/4/19 6:13,11/4/19 6:32,BURLINGTON,5401,C,"44.4824447052,-73.2035342772"
Old North End,L2,19-0000152,"Alarm system activation (no fire), unintentional",1/9/19 3:44,1/9/19 3:44,1/9/19 3:44,1/9/19 3:46,1/9/19 3:49,1/9/19 3:57,BURLINGTON,5401,A,"44.4753292877,-73.2076635545"
Old North End,L2,19-0005413,EMS call,8/31/19 21:53,8/31/19 21:53,8/31/19 21:54,8/31/19 21:56,8/31/19 21:58,8/31/19 22:04,BURLINGTON,5401,A,"44.4953711542,-73.2122670416"
Old North End,L2,19-0005550,EMS call,9/6/19 11:25,9/6/19 11:25,9/6/19 11:26,9/6/19 11:27,9/6/19 11:28,9/6/19 11:39,BURLINGTON,5401,A,"44.5022891603,-73.2133837372"
Old North End,L2,19-0005553,EMS call,9/6/19 13:45,9/6/19 13:45,9/6/19 13:45,9/6/19 13:47,9/6/19 13:50,9/6/19 14:10,BURLINGTON,5401,A,"44.4949116212,-73.197730013"
Downtown,BATT1,19-0004219,Motor vehicle accident with no injuries,7/13/19 10:12,7/13/19 10:12,7/13/19 10:14,7/13/19 10:15,7/13/19 10:16,7/13/19 10:30,BURLINGTON,5401,C,"44.4963643918,-73.2297495015"
Downtown,BATT1,18-0007298,"Sprinkler activation (no fire), unintentional",11/24/18 6:30,11/24/18 6:30,11/24/18 6:31,11/24/18 6:32,11/24/18 6:34,11/24/18 7:58,BURLINGTON,5401,C,"44.4958699299,-73.2251795731"
Downtown,BATT1,19-0001824,"False alarm or false call, other",3/27/19 11:50,3/27/19 11:50,3/27/19 11:51,3/27/19 11:53,3/27/19 11:54,3/27/19 12:01,BURLINGTON,5401,C,"44.4935139832,-73.211227136"
Old North End,BATT1,19-0001861,Alarm system activation due to malfunction,3/29/19 7:12,3/29/19 7:12,3/29/19 7:12,3/29/19 7:13,3/29/19 7:18,3/29/19 7:32,BURLINGTON,5401,B,"44.5017293174,-73.2325420004"
Old North End,BATT1,19-0002027,Smoke detector activation due to malfunction,4/5/19 18:35,4/5/19 18:35,4/5/19 18:35,4/5/19 18:37,4/5/19 18:40,4/5/19 18:43,BURLINGTON,5401,C,"44.4876416705,-73.2346777988"
Downtown,BATT1,19-0002165,Smoke detector activation due to malfunction,4/12/19 8:59,4/12/19 8:59,4/12/19 8:59,4/12/19 9:01,4/12/19 9:06,4/12/19 9:10,BURLINGTON,5401,A,"44.4641623673,-73.2232927193"
South End,BATT1,19-0000401,Water or steam leak,1/20/19 15:11,1/20/19 15:11,1/20/19 15:11,1/20/19 15:13,1/20/19 15:16,1/20/19 15:25,BURLINGTON,5401,C,"44.457605462,-73.1978797558"
Old North End,BATT1,19-0000514,Cooking fire involving the contents of a cooking vessel without fire extension beyond the vessel,1/24/19 19:54,1/24/19 19:54,1/24/19 19:54,1/24/19 19:57,1/24/19 20:00,1/24/19 20:02,BURLINGTON,5401,A,"44.5020220352,-73.2148486545"
Downtown,BATT1,18-0004663,Hazardous material release investigation with no hazardous condition found,8/4/18 16:36,8/4/18 16:36,8/4/18 16:37,8/4/18 16:40,8/4/18 16:40,8/4/18 17:32,BURLINGTON,5401,B,"44.474733233,-73.1838387364"
Downtown,BATT1,19-0000788,"Sprinkler activation (no fire), unintentional",2/5/19 11:04,2/5/19 11:04,2/5/19 11:05,2/5/19 11:07,2/5/19 11:13,2/5/19 11:42,BURLINGTON,5401,A,"44.4898818013,-73.20458762"
Old North End,E3,19-0002575,Alarm system activation due to malfunction,4/30/19 5:57,4/30/19 5:57,4/30/19 5:59,4/30/19 6:00,4/30/19 6:03,4/30/19 6:23,BURLINGTON,5401,A,"44.5123019111,-73.2360628176"
Hill Section,E3,19-0002776,EMS call,5/9/19 16:12,5/9/19 16:12,5/9/19 16:13,5/9/19 16:14,5/9/19 16:15,5/9/19 16:38,BURLINGTON,5401,A,"44.4735607577,-73.1839507212"
Hill Section,E3,18-0005627,"Smoke detector activation (no fire), unintentional",9/12/18 18:33,9/12/18 18:33,9/12/18 18:33,9/12/18 18:35,9/12/18 18:40,9/12/18 18:44,BURLINGTON,5401,B,"44.4699541334,-73.1798757118"
Hill Section,E3,18-0005724,EMS call,9/16/18 8:41,9/16/18 8:41,9/16/18 8:41,9/16/18 8:45,9/16/18 8:45,9/16/18 8:59,BURLINGTON,5401,C,"44.4694865187,-73.1920479476"
Hill Section,E3,18-0005855,EMS call,9/21/18 7:19,9/21/18 7:19,9/21/18 7:19,9/21/18 7:23,9/21/18 7:27,9/21/18 7:37,BURLINGTON,5401,B,"44.4789273499,-73.1881537986"
Hill Section,E3,19-0005107,EMS call,8/19/19 6:21,8/19/19 6:21,8/19/19 6:36,8/19/19 6:36,8/19/19 6:36,8/19/19 6:40,BURLINGTON,5401,A,"44.4668147774,-73.2034969233"
South End,A1,18-0007543,EMS call,12/5/18 16:56,12/5/18 16:56,12/5/18 16:57,12/5/18 16:59,12/5/18 17:05,12/5/18 18:02,BURLINGTON,5401,B,"44.4545881566,-73.1998223448"
Old North End,L2,19-0005617,EMS call,9/9/19 11:17,9/9/19 11:17,9/9/19 11:17,9/9/19 11:18,9/9/19 11:21,9/9/19 11:39,BURLINGTON,5408,A,"44.5135596347,-73.2239412959"
Hill Section,L2,18-0006014,"Good intent call, other",9/26/18 12:44,9/26/18 12:44,9/26/18 12:47,9/26/18 12:50,9/26/18 12:59,9/26/18 13:05,Burlington,5401,A,"44.4907801989,-73.2243469269"
Old North End,L2,19-0004967,EMS call,8/13/19 6:34,8/13/19 6:34,8/13/19 6:34,8/13/19 6:36,8/13/19 6:40,8/13/19 6:45,BURLINGTON,5401,A,"44.5063406699,-73.2276207191"
New North End,L2,19-0003602,EMS call,6/16/19 7:50,6/16/19 7:50,6/16/19 7:51,6/16/19 7:52,6/16/19 7:58,6/16/19 8:13,BURLINGTON,5408,C,"44.5226773223,-73.2719665879"
Old North End,A2,18-0005914,No incident found on arrival at dispatch address,9/22/18 22:35,9/22/18 22:35,9/22/18 22:36,9/22/18 22:39,9/22/18 22:47,9/22/18 22:47,BURLINGTON,5401,C,"44.4872364527,-73.2379450988"
Old North End,A2,18-0006081,EMS call,9/29/18 7:12,9/29/18 7:12,9/29/18 7:13,9/29/18 7:15,9/29/18 7:16,9/29/18 8:10,BURLINGTON,5401,A,"44.4972320413,-73.2005989105"
New North End,A2,19-0007326,EMS call,11/17/19 6:06,11/17/19 6:06,11/17/19 6:06,11/17/19 6:08,11/17/19 6:11,11/17/19 6:45,BURLINGTON,5408,A,"44.4990898401,-73.2747941087"
Old North End,A2,19-0007411,EMS call,11/20/19 14:11,11/20/19 14:11,11/20/19 14:13,11/20/19 14:14,11/20/19 14:28,11/20/19 14:57,BURLINGTON,5401,A,"44.4898437453,-73.2314052503"
New North End,A2,19-0006560,EMS call,10/17/19 14:15,10/17/19 14:15,10/17/19 14:16,10/17/19 14:17,10/17/19 14:20,10/17/19 15:13,BURLINGTON,5408,C,"44.5236896595,-73.2325556075"
Old North End,A2,19-0002800,EMS call,5/11/19 6:49,5/11/19 6:49,5/11/19 6:49,5/11/19 6:50,5/11/19 6:53,5/11/19 7:20,BURLINGTON,5401,C,"44.4936281802,-73.2206579173"
New North End,L4,19-0000153,Motor vehicle accident with no injuries,1/9/19 4:19,1/9/19 4:19,1/9/19 4:19,1/9/19 4:22,1/9/19 4:25,1/9/19 4:50,BURLINGTON,5401,A,"44.4943133679,-73.1824079206"
New North End,L4,18-0007386,EMS call,11/28/18 12:05,11/28/18 12:05,11/28/18 12:06,11/28/18 12:08,11/28/18 12:09,11/28/18 12:15,BURLINGTON,5408,A,"44.5219958558,-73.2635461036"
Old North End,A2,19-0007025,EMS call,11/5/19 9:53,11/5/19 9:53,11/5/19 9:53,11/5/19 9:54,11/5/19 9:56,11/5/19 10:33,BURLINGTON,5401,A,"44.4724868674,-73.2092662916"
Hill Section,A2,18-0006007,EMS call,9/26/18 9:54,9/26/18 9:54,9/26/18 9:55,9/26/18 9:57,9/26/18 10:00,9/26/18 10:42,BURLINGTON,5401,A,"44.432722566,-73.200815485"
New North End,A2,19-0007054,EMS call,11/6/19 10:34,11/6/19 10:34,11/6/19 10:35,11/6/19 10:36,11/6/19 10:43,11/6/19 12:12,BURLINGTON,5408,B,"44.5067415966,-73.2837445657"
SB,A2,19-0007075,EMS call,11/7/19 10:06,11/7/19 10:06,11/7/19 10:07,11/7/19 10:07,11/7/19 10:14,11/7/19 10:14,SOUTH BURLINGTON,5403,C,"44.4580153436,-73.171460685"
New North End,A2,19-0007097,EMS call,11/8/19 5:13,11/8/19 5:13,11/8/19 5:14,11/8/19 5:15,11/8/19 5:26,11/8/19 6:09,BURLINGTON,5408,A,"44.5184286961,-73.2253011176"
Old North End,A2,18-0005628,"Emergency medical service incident, other",9/12/18 18:37,9/12/18 18:37,9/12/18 18:37,9/12/18 18:37,9/12/18 18:37,9/12/18 19:38,BURLINGTON,5401,B,"44.4994810077,-73.2129744481"
New North End,A2,18-0005721,EMS call,9/16/18 4:17,9/16/18 4:17,9/16/18 4:17,9/16/18 4:25,9/16/18 4:25,9/16/18 5:58,BURLINGTON,5408,C,"44.5402278455,-73.2610698491"
Hill Section,A2,18-0005888,EMS call,9/22/18 3:26,9/22/18 3:26,9/22/18 3:27,9/22/18 3:29,9/22/18 3:33,9/22/18 4:20,Burlington,5401,C,"44.4678742158,-73.2090089287"
New North End,A2,18-0005944,EMS call,9/24/18 4:05,9/24/18 4:05,9/24/18 4:21,9/24/18 4:21,9/24/18 4:22,9/24/18 5:44,BURLINGTON,5408,B,"44.4856243165,-73.2513848544"
Old North End,A2,18-0005967,EMS call,9/24/18 18:28,9/24/18 18:28,9/24/18 18:29,9/24/18 18:31,9/24/18 18:32,9/24/18 19:26,BURLINGTON,5401,B,"44.4699425267,-73.2490398379"
Old North End,A2,18-0006071,EMS call,9/28/18 20:19,9/28/18 20:19,9/28/18 20:20,9/28/18 20:20,9/28/18 20:22,9/28/18 21:41,BURLINGTON,5401,C,"44.4747652556,-73.2529650911"
Old North End,L2,19-0004172,Unauthorized burning,7/11/19 12:40,7/11/19 12:40,7/11/19 12:40,7/11/19 12:42,7/11/19 12:48,7/11/19 12:51,BURLINGTON,5401,A,"44.4648088178,-73.2358770315"
Hill Section,L2,19-0004242,"Smoke detector activation (no fire), unintentional",7/14/19 6:40,7/14/19 6:40,7/14/19 6:41,7/14/19 6:43,7/14/19 6:46,7/14/19 6:57,BURLINGTON,5401,A,"44.4891415978,-73.2231537479"
Old North End,L2,19-0003464,"Smoke detector activation (no fire), unintentional",6/10/19 19:54,6/10/19 19:54,6/10/19 19:54,6/10/19 19:56,6/10/19 20:00,6/10/19 20:19,BURLINGTON,5401,C,"44.482435914,-73.2597825186"
Old North End,L2,19-0003508,Animal rescue,6/12/19 14:10,6/12/19 14:10,6/12/19 14:10,6/12/19 14:12,6/12/19 14:17,6/12/19 14:31,BURLINGTON,5401,B,"44.4928158547,-73.2355783084"
New North End,L2,18-0007839,EMS call,12/19/18 9:15,12/19/18 9:15,12/19/18 9:15,12/19/18 9:17,12/19/18 9:21,12/19/18 9:26,BURLINGTON,5408,A,"44.504417085,-73.2388787275"
Hill Section,E3,19-0005186,EMS call,8/22/19 7:52,8/22/19 7:52,8/22/19 7:52,8/22/19 7:54,8/22/19 7:55,8/22/19 8:32,BURLINGTON,5401,A,"44.5003099176,-73.2263680678"
New North End,E3,19-0005462,EMS call,9/3/19 4:56,9/3/19 4:56,9/3/19 4:57,9/3/19 4:58,9/3/19 5:03,9/3/19 5:53,BURLINGTON,5408,A,"44.5045034822,-73.230535372"
Hill Section,E3,18-0007216,EMS call,11/19/18 11:34,11/19/18 11:34,11/19/18 11:38,11/19/18 11:38,11/19/18 11:38,11/19/18 11:59,BURLINGTON,5401,A,"44.4346670409,-73.2147444648"
Hill Section,E3,18-0007270,Carbon monoxide detector activation (no carbon monoxide detected),11/22/18 11:05,11/22/18 11:05,11/22/18 11:06,11/22/18 11:08,11/22/18 11:14,11/22/18 11:42,BURLINGTON,5401,A,"44.4952551135,-73.1625514393"
Hill Section,E3,19-0000793,EMS call where injured party has been transported by a non-fire service agency or left the scene prior to arrival,2/5/19 16:27,2/5/19 16:27,2/5/19 16:27,2/5/19 16:32,2/5/19 16:32,2/5/19 16:46,BURLINGTON,5401,A,"44.4763217702,-73.1698849692"
Hill Section,L2,18-0004889,"Smoke detector activation (no fire), unintentional",8/13/18 4:05,8/13/18 4:05,8/13/18 4:05,8/13/18 4:07,8/13/18 4:12,8/13/18 4:14,BURLINGTON,5401,B,"44.4842815458,-73.2271502472"
Old North End,L2,19-0003527,,6/13/19 9:21,6/13/19 9:21,6/13/19 9:22,6/13/19 9:25,6/13/19 9:27,6/13/19 9:37,BURLINGTON,5401,,"44.4787996814,-73.2151049544"
Old North End,L2,18-0005125,"Alarm system activation (no fire), unintentional",8/22/18 13:35,8/22/18 13:35,8/22/18 13:35,8/22/18 13:37,8/22/18 13:41,8/22/18 13:50,BURLINGTON,5401,B,"44.4825636055,-73.2029751626"
Old North End,L2,18-0005238,"Rescue and EMS incident, other",8/27/18 16:26,8/27/18 16:26,8/27/18 16:27,8/27/18 16:29,8/27/18 16:38,8/27/18 16:44,BURLINGTON,5401,A,"44.4932431292,-73.2207394878"
Old North End,L2,19-0002475,EMS call,4/25/19 19:22,4/25/19 19:22,4/25/19 19:22,4/25/19 19:23,4/25/19 19:24,4/25/19 19:27,BURLINGTON,5401,B,"44.4765792229,-73.2337950063"
Downtown,E3,19-0000766,EMS call,2/4/19 15:08,2/4/19 15:08,2/4/19 15:10,2/4/19 15:10,2/4/19 15:10,2/4/19 16:04,BURLINGTON,5401,C,"44.4758413052,-73.1916965581"
Hill Section,E3,19-0003881,"Smoke detector activation (no fire), unintentional",6/27/19 20:02,6/27/19 20:02,6/27/19 20:02,6/27/19 20:03,6/27/19 20:04,6/27/19 20:14,BURLINGTON,5401,B,"44.4913943222,-73.1963242194"
Hill Section,E3,18-0006466,Smoke detector activation due to malfunction,10/13/18 20:39,10/13/18 20:39,10/13/18 20:40,10/13/18 20:46,10/13/18 20:46,10/13/18 20:54,BURLINGTON,5401,C,"44.4802438015,-73.2115270443"
Hill Section,E3,19-0006536,"System or detector malfunction, other",10/16/19 9:26,10/16/19 9:26,10/16/19 9:27,10/16/19 9:29,10/16/19 9:32,10/16/19 9:36,BURLINGTON,5401,B,"44.4847932125,-73.1972925919"
South End,E3,19-0006569,EMS call,10/17/19 23:01,10/17/19 23:01,10/17/19 23:02,10/17/19 23:04,10/17/19 23:07,10/17/19 23:25,BURLINGTON,5401,C,"44.4656828706,-73.1940837528"
Hill Section,E3,18-0005577,EMS call,9/10/18 16:42,9/10/18 16:42,9/10/18 16:43,9/10/18 16:46,9/10/18 16:46,9/10/18 17:09,BURLINGTON,5401,C,"44.4935418845,-73.2168301823"
Hill Section,E3,18-0005653,EMS call,9/13/18 18:59,9/13/18 18:59,9/13/18 18:59,9/13/18 19:05,9/13/18 19:05,9/13/18 19:13,BURLINGTON,5401,C,"44.4638004563,-73.2103813826"
